model,seed,calibration_objective_m,holdout_objective_m,elapsed_seconds,population_size,generations,evaluations
TMSFF,42,1.8144952996392547,0.8690555429457131,3.637961100001121,100,80,8100
TMSFF,43,1.8133137808745445,0.8769515187912006,3.4100744999886956,100,80,8100
TMSFF,44,1.8161297703310653,0.8621123997828952,3.3606873999815434,100,80,8100
TMSFF,45,1.813280967940575,0.8785850096251664,3.421154799987562,100,80,8100
TMSFF,46,1.8131581359479454,0.8769531103194785,3.2665487000194844,100,80,8100
AV-IDM,42,1.7694643941332153,2.0484684422822887,86.31646090000868,100,80,8100
AV-IDM,43,1.656501593019354,2.0108252406936993,88.77057349999086,100,80,8100
AV-IDM,44,1.8273176229661492,2.096994253726119,92.92171079997206,100,80,8100
AV-IDM,45,1.6890592784130858,2.0139906156260183,90.3856884999841,100,80,8100
AV-IDM,46,1.8282589011013375,2.1584282511309114,86.8143749999872,100,80,8100
