model,seed,generation,evaluations,best_objective_m,median_objective_m,mean_objective_m
TMSFF,42,0,100,1.95359598943522,3.7161975015924034,4.83108122402581
TMSFF,42,1,200,1.95359598943522,2.7200959990276434,3.0178688847491513
TMSFF,42,2,300,1.912108651758075,2.257286325960604,2.3686971381562514
TMSFF,42,3,400,1.881234580382012,2.1321915921739834,2.167262171293967
TMSFF,42,4,500,1.836668564438633,2.0008413171378594,2.0695159851469347
TMSFF,42,5,600,1.836668564438633,1.9478014502222183,1.9674290114085862
TMSFF,42,6,700,1.836668564438633,1.929044602793069,1.9405260194611915
TMSFF,42,7,800,1.836668564438633,1.9087823170630451,1.9269278456981656
TMSFF,42,8,900,1.8357192880269881,1.873455488916489,1.8995038606355754
TMSFF,42,9,1000,1.8357192880269881,1.8502110499020543,1.8607327195366785
TMSFF,42,10,1100,1.8355535799397393,1.8441998955519587,1.8855709105399385
TMSFF,42,11,1200,1.8329755041450977,1.836668564438633,1.8453379978041056
TMSFF,42,12,1300,1.830750059118959,1.8366405456315418,1.837420011343996
TMSFF,42,13,1400,1.830750059118959,1.8357530613422939,1.8556327760097153
TMSFF,42,14,1500,1.830750059118959,1.8357192880269881,1.8385960527551646
TMSFF,42,15,1600,1.8271357811201814,1.8350293332661094,1.8470053381756741
TMSFF,42,16,1700,1.8271357811201814,1.8343064918931675,1.840859976968813
TMSFF,42,17,1800,1.8264926727105848,1.8325029452179926,1.8348556659817885
TMSFF,42,18,1900,1.8254432960678397,1.830750059118959,1.851880871120091
TMSFF,42,19,2000,1.824977253604198,1.8289065404691782,1.8436094243338061
TMSFF,42,20,2100,1.8243913631133348,1.8270948186639868,1.848754396991143
TMSFF,42,21,2200,1.8231365249962712,1.8263103245076548,1.8451305806668443
TMSFF,42,22,2300,1.8220958769810167,1.8253713431868936,1.8283270289332352
TMSFF,42,23,2400,1.8220958769810167,1.8249352805289871,1.8253304647601172
TMSFF,42,24,2500,1.8213790970174317,1.82351374014526,1.8379542279115377
TMSFF,42,25,2600,1.8213790970174317,1.822396802729756,1.8422303713497306
TMSFF,42,26,2700,1.8213790970174317,1.8223160236056317,1.8277735266677744
TMSFF,42,27,2800,1.820956854478063,1.8220958769810167,1.8310830749433225
TMSFF,42,28,2900,1.820192742397618,1.8217333590900329,1.8642035992213812
TMSFF,42,29,3000,1.820192742397618,1.8213790970174317,1.8396971127429589
TMSFF,42,30,3100,1.820192742397618,1.8210876703120387,1.9501422838202052
TMSFF,42,31,3200,1.8193273539841432,1.8210876703120387,1.834563450246031
TMSFF,42,32,3300,1.8193273539841432,1.820192742397618,1.8253905572594882
TMSFF,42,33,3400,1.8193273539841432,1.820192742397618,1.8328487277975807
TMSFF,42,34,3500,1.8192280122967424,1.820192742397618,1.8449118394504973
TMSFF,42,35,3600,1.8192216303884323,1.8193273539841432,1.8248424751968038
TMSFF,42,36,3700,1.8192216303884323,1.8193273539841432,1.8220336145556488
TMSFF,42,37,3800,1.8190400362285901,1.8193218044629962,1.8230622323329149
TMSFF,42,38,3900,1.8183174692950614,1.8192280122967424,1.8280365759808195
TMSFF,42,39,4000,1.817265022490593,1.8192280122967424,1.8241944244226584
TMSFF,42,40,4100,1.817265022490593,1.8192216303884323,1.859986311277999
TMSFF,42,41,4200,1.817265022490593,1.8192216303884323,1.8268802559909012
TMSFF,42,42,4300,1.817265022490593,1.8190400362285901,1.820859959799375
TMSFF,42,43,4400,1.817265022490593,1.8189783814642548,1.8410099169876326
TMSFF,42,44,4500,1.8152262706996427,1.817265022490593,1.8261985853808116
TMSFF,42,45,4600,1.8152262706996427,1.817265022490593,1.8213191936628348
