x1,y1,x2,y2,v1,v2,a1,a2,c1,c2,s1,s2
-0.69066203,26.08643901,-17.77523041,23.53988231,6.29792668389897,3.7820943312514155,0.33742731875869403,-0.343970332238106,0.31309714290238816,0.03186554443522502,17.224782736289846,0.0
-0.09148724,26.28041936,-17.39721298,23.55193212,6.331669415774839,3.747697298027605,0.2240741924712264,-0.28131553277770394,0.311840214510733,0.026362332760878692,17.854575407665592,0.37821000034925906
0.51114243,26.4746817,-17.02257347,23.56181078,6.354076835021962,3.7195657447498345,0.1439108065920891,-0.11661534391285144,0.3089074631687202,0.02180784934255079,18.487742488849722,0.7529801234216045
1.11647391,26.66785707,-16.65070534,23.56992171,6.368467915681171,3.7079042103585493,0.0840299349980711,0.1547475829830125,0.30523527714891324,0.018135038537268496,19.123150490227125,1.1249369585409918
1.72388327,26.85924073,-16.27997589,23.57664564,6.376870909180978,3.7233789686568506,0.04739013278281412,0.49819054945278385,0.3016536732319814,0.015281983167802084,19.759997656747043,1.4957275430166255
2.33277655,27.04869732,-15.90768147,23.58233548,6.381609922459259,3.773198023602129,0.03639218502883068,0.8662252699206707,0.298881700903314,0.013202155507587326,20.397685037335414,1.8680655337689882
2.94264555,27.23660489,-15.53039455,23.58731677,6.385249140962142,3.859820550594196,0.050033267066158515,1.2006878406344779,0.2975227346202214,0.011872955254228995,21.035846155956243,2.2453853818780796
3.55311728,27.42379018,-15.1444397,23.59189941,6.390252467668758,3.979889334657644,0.0957606129844546,1.4503468439528522,0.2980623751563713,0.011298695259159209,21.674371078240284,2.631367451787562
4.16396618,27.61145181,-14.74647617,23.59639607,6.399828528967204,4.124924019052929,0.17924459596390108,1.5970915124548846,0.30087004840915926,0.011507617457973658,22.313396397582068,3.029356385980797
4.77520037,27.80111155,-14.33401108,23.60114277,6.417752988563594,4.2846331702984175,0.3031752749859784,1.640642102689256,0.30620500091350206,0.012543573096357081,22.953379685185187,3.4418487945040197
5.38712311,27.9945698,-13.90558147,23.60651709,6.448070516062192,4.448697380567343,0.4718051214123964,1.6088951643375982,0.31422664987026266,0.014455273987987518,23.595156172839644,3.8703121500551108
6.00035763,28.19386746,-13.46075821,23.61294758,6.495251028203431,4.609586897001103,0.6898412197257642,1.5308017163619425,0.3250072589338273,0.017286357796103487,24.239965599114118,4.315181991770153
6.61587906,28.401271,-12.99986839,23.62091548,6.564235150176008,4.762667068637297,0.9447979632894832,1.4414496049309555,0.33854591022068503,0.021069271177745475,24.88949470689845,4.776140891229626
7.23504305,28.61927968,-12.52370739,23.63094933,6.658714946504956,4.906812029130393,1.2370802063102637,1.3594273363286735,0.35477988313557296,0.025822383228931992,25.545924294975666,5.2524079592960256
7.85944605,28.85059276,-12.03318977,23.64361848,6.782422967135982,5.04275476276326,1.5542360395930999,1.3002947307935742,0.3735920743572586,0.03155116670856382,26.211804333527176,5.7430897241151735
8.49090481,29.09812548,-11.52916527,23.65952632,6.937846571095292,5.1727842358426175,1.874446974213786,1.2675957357657897,0.3948143035727715,0.03825022173136238,26.890057984034783,6.247366012054869
9.13131523,29.36498058,-11.01226521,23.67930751,7.125291268516671,5.2995438094191964,2.1826085737436074,1.2463632808802139,0.4182243808788326,0.0459066761743902,27.583857089403946,6.764645547436006
9.78243256,29.6543661,-10.48286915,23.70362741,7.343552125891032,5.424180137507218,2.459127720065002,1.240043881071644,0.44354003039779843,0.05450083157414234,28.29640390947923,7.2946013874410305
10.44573021,29.96950703,-9.94125652,23.73317501,7.589464897897532,5.548184525614382,2.675428385829921,1.2388009769748276,0.47041518064117854,0.06400710598687058,29.030780061421872,7.83702125465273
11.12224007,30.31350439,-9.3875742,23.76866309,7.857007736480524,5.672064623311865,2.8080875083771595,1.230051801702725,0.4984389542313755,0.07439407855549837,29.789750508815192,8.391841997167933
11.81234455,30.68911258,-8.82193661,23.81082098,8.13781648731824,5.7950698034821375,2.8335056592420216,1.2225844075755443,0.5271429637692316,0.08562317383399293,30.575477782879155,8.959051224512281
12.51565361,31.09849863,-8.24455261,23.8603796,8.421167053242442,5.917328244239692,2.737554122117576,1.215443757204282,0.556019895756402,0.09764834833396377,31.389287723454537,9.538561474119868
13.23091602,31.54297611,-7.65563869,23.91806955,8.6949224654542,6.03887261996012,2.5117363963937223,1.2031919165005789,0.5845533993022576,0.11041729863749472,32.23143353821574,10.13029809358103
13.95603657,32.0227854,-7.05542898,23.98461374,8.946096105093572,6.159191811610178,2.155596047336168,1.1878377440001753,0.6122555825710829,0.12387140301183043,33.10095461829526,10.734189688804191
14.68814373,32.53693077,-6.44422913,24.06071355,9.161655709827189,6.277975586010196,1.6946608907960226,1.1763556808941633,0.6387050271846885,0.13794604335140542,33.99559171622179,11.35011374140673
15.42370415,33.0831086,-5.82239532,24.14704134,9.331121798906791,6.395611154099612,1.1464767352999594,1.15911975209122,0.6635810986548162,0.15257255220438498,34.911782543797486,11.977916696830672
16.15880203,33.65785154,-5.19026375,24.24424267,9.445769472436787,6.511523129308734,0.5536215931354249,1.1418787494311555,0.6866860710131382,0.16767910266216834,35.844917169926845,12.617483711854764
16.88929176,34.25669239,-4.548244,24.35291638,9.50113163175033,6.6257110042518494,-0.03583871847778752,1.1282028718794646,0.7079526599374538,0.18319161444536725,36.78951351327582,13.268642394997048
