time_s,model,s_m,v_mps,a_mps2,gap_m
0.0,T-IDM,12.980833910669062,8.7,-0.39005288101198543,23.0
0.1,T-IDM,13.848883646264001,8.6609947118988,-0.2900932986707345,23.11841376079193
0.2,T-IDM,14.713532650960527,8.631985382031727,-0.20633186423566538,23.24489925668888
0.30000000000000004,T-IDM,15.575699529842522,8.611352195608161,-0.1448226649253905,23.375937553063885
0.4,T-IDM,16.436110636078713,8.596869929115622,-0.07552745711277103,23.51372661742919
0.5,T-IDM,17.295419991704712,8.589317183404345,-0.027252773667415086,23.654738004922557
0.6000000000000001,T-IDM,18.15421544617681,8.586591906037604,0.018210921882087908,23.798860398268186
0.7000000000000001,T-IDM,19.01296569138998,8.588412998225813,0.07555181306970528,23.949195713986605
0.8,T-IDM,19.87218475027791,8.595968179532784,0.08643025845025588,24.09624143483733
0.9,T-IDM,20.73221371952344,8.60461120537781,0.12914568295851211,24.247131968253537
1.0,T-IDM,21.593320568476013,8.61752577367366,0.1792304359790224,24.404196804306363
1.1,T-IDM,22.455969298023273,8.635448817271563,0.18970193324544615,24.558885158194645
1.2000000000000002,T-IDM,23.320462689416654,8.654419010596108,0.1973727475637854,24.710630996914492
1.3,T-IDM,24.186891454214084,8.674156285352487,0.20188816756497557,24.858942357773863
1.4000000000000001,T-IDM,25.05531652358716,8.694345102108985,0.24178478539202852,25.01239132109812
1.5,T-IDM,25.925959957725016,8.718523580648187,0.28024695082446904,25.17123563691273
1.6,T-IDM,26.799213550543957,8.746548275730634,0.3118279084079017,25.334191698788825
1.7000000000000002,T-IDM,27.67542751765906,8.777731066571423,0.2975419980788664,25.490233397329817
1.8,T-IDM,28.554688334306594,8.80748526637931,0.28746144937547624,25.640341007332086
1.9000000000000001,T-IDM,29.4368741681914,8.836231411316858,0.31668160095139103,25.79445420730928
2.0,T-IDM,30.322080717327843,8.867899571411996,0.2809733062048274,25.93680103124153
2.1,T-IDM,31.21027554100007,8.89599690203248,0.2800734323016308,26.075868840577105
