model,mean_abs_jerk_mps3,speed_std_mps,spacing_rmse_m,fuel_L_per_100km,legacy_normalized_fuel,corrected_normalized_fuel,normalized_fuel_change
T-IDM,0.21806748645763507,0.7920141939323952,1.0,0.9650508377165192,0.9538528468113407,0.9650508377165192,0.011197990905178479
C-FVD,1.0,1.0,0.44197184937345246,1.0,1.0,1.0,0.0
GAPB,0.39150043502754933,0.8509472049661777,0.9323014302516497,0.9831488250880391,0.9771728905849928,0.9831488250880391,0.005975934503046343
