model,mean_abs_jerk_mps3,speed_std_mps,spacing_rmse_m,fuel_L_per_100km,mean_gap_m,mean_speed_mps,max_abs_accel_mps2
T-IDM,0.1073852815717124,0.5470514886355383,7.598442396769442,5.217248346458852,29.405223995596668,9.516448450628284,0.3358875698752
C-FVD,0.4924405894529105,0.6907091979240887,3.358297638457839,5.406190163829901,25.29372398002841,9.549807998150358,0.6410763511104585
GAPB,0.1927907049960373,0.5877570614179337,7.084038714192923,5.315089507771881,28.98242833794324,9.513138350183937,0.4331102979560649
