time_s,leader_s_m,leader_v_mps,leader_a_mps2
0.0,35.98083391066906,9.808339106690632,0.5629585717801078
0.1,36.96729740705593,9.864634963868642,0.5150294962205937
0.2,37.958431907649405,9.91134500593475,0.33708394350716375
0.30000000000000004,38.95163708290641,9.932051752570075,0.35328350040067846
0.4,39.9498372535079,9.982001706014886,0.35577839311815573
0.5,40.95015799662727,10.003207431193706,0.235883860811974
0.6000000000000001,41.953075844444996,10.02917847817728,0.43824089061078375
0.7000000000000001,42.962161405376584,10.090855609315863,0.1673465960464693
0.8,43.96842618511524,10.062647797386575,0.09169708650742514
0.9,44.97934568777698,10.109195026617348,0.5953452633371281
1.0,45.997517372782376,10.181716850054,0.32087903869030043
1.1,47.01485445621792,10.173370834355408,-0.09662274460842113
1.2000000000000002,48.03109368633115,10.162392301132316,-0.12984788893736443
1.3,49.04583381198795,10.147401256567935,0.28174012920509917
1.4000000000000001,50.06770784468528,10.218740326973336,0.7373812147836123
1.5,51.097195594637746,10.294877499524658,0.7167810998852353
1.6,52.13340524933278,10.362096546950383,0.13839578518160423
1.7000000000000002,53.16566091498888,10.322556656560979,-0.3420614022618995
1.8,54.19502934163868,10.293684266498003,0.20216841029518484
1.9000000000000001,55.23132837550068,10.362990338620016,-0.0907526790554769
2.0,56.25888174856937,10.275533730686908,-0.4518200427100272
2.1,57.286144381577174,10.27262633007801,0.07334768917321988
2.2,58.31516470842932,10.290203268521552,0.1529349721659834
2.3000000000000003,59.345486040880445,10.303213324511207,-0.12683908479139916
2.4000000000000004,60.37196958603677,10.264835451563272,-0.01384213955418545
2.5,61.40201407569681,10.30044489660037,-0.20415408734451468
2.6,62.424414539106245,10.224004634094369,-0.0923796500593621
2.7,63.45261143576509,10.281968966588497,0.7263312450225801
2.8000000000000003,64.48953852407499,10.369270883098885,0.23916985571517557
2.9000000000000004,65.52251881784814,10.329802937731532,-0.3968283845231735
3.0,66.55150933846755,10.28990520619425,-0.21772556323236714
3.1,67.58013512097607,10.286257825085059,-0.4661495130157789
3.2,68.59980265133518,10.196675303591094,-0.15408105830626795
3.3000000000000003,69.62534681267755,10.255441613423805,-0.055092171837998194
3.4000000000000004,70.6439124995999,10.185656869223495,-0.17476674519651958
3.5,71.66596132603837,10.220488264384501,-0.33522682685145355
3.6,72.67782247642369,10.118611503853204,-0.04442641088002297
3.7,73.69898277464453,10.211602982208497,-0.023684223256061898
3.8000000000000003,74.71037024056474,10.113874659201992,-0.5633356987985927
3.9000000000000004,75.72026382480962,10.098935842448778,0.1489387805921627
4.0,76.73463006634165,10.143662415320424,0.1641515113275016
4.1000000000000005,77.74780668081308,10.131766144714279,-0.5437805789158112
4.2,78.7512973107668,10.034906299537262,-0.26320285969851476
4.3,79.75920986804427,10.079125572774576,0.38444607652412977
4.4,80.77038941952847,10.111795514842088,-0.1284893162055134
4.5,81.77573219048182,10.053427709533473,-0.05382699669798541
4.6000000000000005,82.78583520203208,10.10103011550249,0.21729277559446203
4.7,83.79552382849731,10.096886264652365,0.20509111552482473
4.800000000000001,84.80972866235805,10.142048338607456,-0.048204013763628595
4.9,85.81845320854802,10.08724546189964,-0.3176523760126404
5.0,86.82630499488852,10.078517863404928,-0.18455810245112225
5.1000000000000005,87.83133837902945,10.050333841409415,-0.5067538841272423
5.2,88.8290550876874,9.97716708657948,0.18051990316509503
5.300000000000001,89.83769886989163,10.086437822042434,0.32992957814584223
5.4,90.84201417011249,10.043153002208648,-0.35144475511318163
5.5,91.84362905721449,10.016148871019798,0.04747496682630192
5.6000000000000005,92.84889385677187,10.052647995573908,0.13953690401272922
5.7,93.85329948195411,10.044056251822344,0.0681926359496643
5.800000000000001,94.85992813423049,10.066286522763841,0.1213194584367816
5.9,95.86676014858145,10.0683201435097,0.14539244541447616
6.0,96.87629664976613,10.095365011846736,0.017212889313213964
6.1000000000000005,97.88347292190338,10.071762721372343,0.4690321468851888
6.2,98.90239006602573,10.189171441223774,0.3139621898781009
6.300000000000001,99.91584558196054,10.134555159347963,-0.4247892658422181
6.4,100.92626694076607,10.10421358805533,0.224261611155665
6.5,101.94420768892398,10.179407481579096,0.1305637618454103
6.6000000000000005,102.95724032296643,10.130326340424412,-0.10811575801991324
6.7,103.97301875596393,10.157784329975113,0.6976152888401455
6.800000000000001,105.00000369578319,10.269849398192441,0.4358141247259617
6.9,106.02449841127522,10.244947154920306,0.15260218650706037
7.0,107.0545353948246,10.300369835493854,0.17634758028124864
7.1000000000000005,108.08255706192226,10.280216670976555,0.07882611160630937
7.2,109.11417056770377,10.316135057815115,0.5267928646304032
7.300000000000001,110.15272809209402,10.385575243902636,0.6636272178893066
7.4,111.19761414223333,10.448860501392977,0.04902821111916644
7.5,112.23715223084598,10.39538088612647,-0.7959157852294041
