scenario,model,leader_peak_speed_dev_mps,last_peak_speed_dev_mps,peak_speed_amplification_ratio,leader_rms_speed_dev_mps,last_rms_speed_dev_mps,rms_speed_amplification_ratio,max_abs_spacing_error_m
mild,C-FVD,0.7499999986807913,0.5758916195654908,0.7678554941046034,0.22722268105527643,0.21048318950505687,0.9263300148009989,0.9399622322983028
mild,GACF,0.7499999986807913,2.2122447390478044,2.9496596572520284,0.22722268105527643,1.103912115102713,4.858283116702441,10.534488637655464
mild,TMSFF,0.7499999986807913,0.5461984128230482,0.7282645517117081,0.22722268105527643,0.2530667100854433,1.1137387733924315,1.7222307945767845
moderate,C-FVD,1.1999999978892655,0.9478020469478503,0.7898350405124853,0.3635562896884422,0.344226623332926,0.9468317096863288,1.4557332159086975
moderate,GACF,1.1999999978892655,2.1655432867752857,1.8046194088202985,0.3635562896884422,1.09345296430479,3.0076579482144274,10.517235695771
moderate,TMSFF,1.1999999978892655,0.8109897855996406,0.6758248225217729,0.3635562896884422,0.4085843934624335,1.1238545585680257,2.7539726029493004
severe,C-FVD,1.6499999970977397,1.2991508200934545,0.7873641347749032,0.4998898983216081,0.4777544045984369,0.9557192617864622,1.9874354156123282
severe,GACF,1.6499999970977397,2.1196485119188218,1.2846354640285869,0.4998898983216081,1.083624808226165,2.1677269572048976,10.505061530235501
severe,TMSFF,1.6499999970977397,1.0584410455865116,0.6414794226959103,0.4998898983216081,0.5650215864320063,1.130292066971306,3.8313133742957
