model,calibration_rmse_mean_m,calibration_rmse_sd_m,validation_rmse_mean_m,validation_rmse_sd_m
T-IDM,0.2226777010794742,0.019029233031337547,0.3220517904533031,0.05908068164772238
T-FVD,0.08103979878454912,0.007128287591384799,0.7468166935351587,0.04655117291381372
C-FVD,0.12708777000459634,0.0171772590486155,0.6857058826726651,0.4220201723675435
GAPB,0.20790564116140678,0.043212277185173335,0.33024001214203313,0.09259654988142885
