model,seed,generation,best_rmse_m,median_rmse_m,mean_rmse_m
T-IDM,46,35,0.2565522067543189,0.2567224317081448,0.2769148219666496
T-IDM,46,36,0.2565482260604485,0.25670653201026694,0.26005501919191387
T-IDM,46,37,0.2565466124885635,0.2566680563994707,0.26600410802079144
T-IDM,46,38,0.2565466124885635,0.25656060178322754,0.26726604267495957
T-IDM,46,39,0.2565466124885635,0.2565500452421812,0.2647533001334769
T-IDM,46,40,0.2565466124885635,0.2565482260604485,0.27752038542288177
T-IDM,46,41,0.2565466124885635,0.2565482260604485,0.2624339232209217
T-IDM,46,42,0.25654220814290035,0.2565466124885635,0.2705523798357835
T-IDM,46,43,0.25654220814290035,0.2565466124885635,0.26187906667465805
T-IDM,46,44,0.2565398629285674,0.2565466124885635,0.27000086953284835
T-IDM,46,45,0.2565398629285674,0.2565466124885635,0.26962071721921904
T-IDM,46,46,0.2565374908132709,0.2565445512426206,0.26991443590621134
T-IDM,46,47,0.2565374908132709,0.25654220814290035,0.2640488682507197
T-IDM,46,48,0.2565374908132709,0.2565398629285674,0.26087687837869256
T-IDM,46,49,0.25645451441451,0.2565398629285674,0.2603835673627432
