time_s,model,s_m,v_mps,a_mps2,offset_m,x_m,y_m,gap_m,leader_s_m,leader_v_mps,leader_a_mps2,spacing_error_m,jerk_mps3
0.0,TMSFF,-12.6612375122941,8.7,0.0,-0.25,-12.623883763356465,-0.8555227279754795,23.0,10.3387624877059,5.0,1.46761876903128,1.0,-3.432545298399923
0.1,TMSFF,-11.7929537849433,8.665674547016,-0.34325452983999233,-0.20374999999999988,-11.7625615492553,-0.6786932466342191,22.6390543664944,10.8461005815511,5.14676187690313,1.39668782013276,0.6390543664943991,-2.741628355513076
0.2,TMSFF,-10.929127958597213,8.610841979905738,-0.5483256711026152,-0.16605624999999974,-10.904424845459134,-0.5112891998827425,22.296888166939212,11.367760208342,5.2864306589164,1.31012732070152,0.29688816693921183,-1.605184379882131
0.3,TMSFF,-10.071365217635723,8.544412839324096,-0.6642914058164185,-0.13533584374999963,-10.05130613320831,-0.3521135194478384,21.97431912847292,11.9029539108372,5.41744339098656,1.22495779148496,-0.02568087152707932,-0.8716541472155287
0.4,TMSFF,-9.220537216206042,8.472147189269524,-0.722656500545721,-0.11029871265624948,-9.204264831160659,-0.2001401522072105,21.671360255099344,12.4508230388933,5.53993917013505,1.12013502263228,-0.32863974490065573,-0.4083157112230351
0.5,TMSFF,-8.377052270019394,8.397551734463422,-0.7459545480610256,-0.08989345081484308,-8.36386418204182,-0.05450114552565345,21.387469901039296,13.0104176310199,5.65195267239828,1.01994350357583,-0.6125300989607041,-0.12444289865983893
0.6,TMSFF,-7.541034821974441,8.322797226435652,-0.7475450802776887,-0.07326316241409682,-7.5303562826148704,0.08552959969324597,21.12174743775204,13.5807126157776,5.75394702275586,0.897607105738175,-0.8782525622479582,0.0387030173164421
0.7,TMSFF,-6.712446169053865,8.248975831975878,-0.7382139445977371,-0.059709477367488564,-6.703807456678489,0.22055323412409059,20.873041522635766,14.1605953535819,5.84370773332968,0.784107549978624,-1.1269584773642336,0.12289644724352511
0.8,TMSFF,-5.891163414810421,8.17667925289298,-0.7229657908289837,-0.04866322405450277,-5.884181091641974,0.3510626138146729,20.640050079475223,14.7488866646648,5.92211848832754,0.645070011456174,-1.3599499205247767,0.15346885026030987
0.9,TMSFF,-5.077033090393852,8.105927235438411,-0.7075201745456752,-0.03966052760441928,-5.0713945038982216,0.47745752610047265,20.421356953948653,15.3443238635548,5.98662548947316,0.522637223406086,-1.5786430460513472,0.15134518248479278
1.0,TMSFF,-4.269903850621671,8.036657560005208,-0.6926967543320252,-0.03232332999760115,-4.265354340533821,0.6000588195024856,20.21550344924087,15.9455995986192,6.03888921181377,0.3994371833382,-1.7844965507591297,0.1372806367810575
1.1,TMSFF,-3.469638414857097,7.968651155286262,-0.6800640471894637,-0.026343513948044274,-3.4659707720393826,0.7191221353966238,20.0211241205743,16.5514857057172,6.07883293014759,0.276222336346923,-1.9788758794257006,0.11078745734396989
1.2,TMSFF,-2.6761259956427876,7.901597228999939,-0.6705392628632312,-0.021469963867655317,-2.6731717898881917,0.8348487874385774,19.83687610605649,17.1607501104137,6.10645516378228,0.155637261232532,-2.16312389394351,0.07799188515183186
1.3,TMSFF,-1.8892886010935885,7.835150661984029,-0.6644656701590973,-0.017498020552138175,-1.886911057335663,0.9473952669388425,19.66146241419169,17.7721738130981,6.12201888990553,0.0420833483574496,-2.338537585808311,0.04443655419088255
1.4,TMSFF,-1.109081794655312,7.7689854667815235,-0.6616519520250547,-0.014260886749991559,-1.1071699494580427,1.0568816776965653,19.49366791348571,18.3845861188304,6.12622722474128,-0.0627824603593543,-2.5063320865142913,0.013738934583155116
1.5,TMSFF,-0.33549183739337124,7.702813678457277,-0.6617178832424663,-0.011622622701241885,-0.33395575197908234,1.1633991339079077,19.33238676639617,18.9968949290028,6.11994897870534,-0.154611458171812,-2.6676132336038307,-0.011460689211054143
