model,mean_abs_jerk_mps3,speed_std_mps,spacing_rmse_m,trajectory_rmse_m,fuel_L_per_100km,mean_gap_m,mean_speed_mps,max_abs_accel_mps2
TMSFF,0.2452039901355637,0.16689334943501133,3.1747292101552946,3.1781572580343305,43.43082081623751,18.861305421223467,7.246103882939031,0.31092857890100817
C-FVD,0.5667740156358612,0.47532681519673403,2.557845409254014,2.5599834932482275,55.5487652402276,24.482000835535306,7.1764094968719,1.0019620532732885
GACF,0.30145041651599624,0.9797053768845416,9.291571306786713,9.298704643556599,52.867384935541914,30.720141543385804,6.73105260076554,0.6844787900134401
