model,equilibrium_speed_mps,equilibrium_gap_m,f_gap,f_speed,f_rel_speed,eig_real_1,eig_real_2,max_eig_real,locally_stable
TMSFF,7.081830396538565,18.112018669778298,0.09511425667637377,-0.21786287123774142,0.0840565263215043,-0.15095969877962293,-0.15095969877962293,-0.15095969877962293,True
C-FVD,7.081830396538565,24.31505250875146,0.45906024397996065,-1.0400000000003473,0.5800000000001935,-0.3661083960917517,-1.253891603908789,-0.3661083960917517,True
GACF,7.081830396538565,30.728121353558926,0.04138259482097394,-0.40947948403477796,0.2015000000000662,-0.07758320929644635,-0.5333962747383978,-0.07758320929644635,True
