model,parameter,seed42_estimate,five_seed_mean,five_seed_sd,lower_bound,upper_bound,seed42_relative_bound_position,near_bound_within_2pct
TMSFF,a_max,1.793992314843465,1.817207060819848,0.05024268468098938,0.1,3.0,0.5841352809805053,False
TMSFF,b_comfort,2.160949873968973,2.319205664286433,0.15113969196972651,0.1,3.0,0.7106723703341287,False
TMSFF,T,0.4691801951496693,0.4433717640161795,0.027727570382412112,0.1,2.0,0.194305365868247,False
TMSFF,v_desired,10.97834748895865,10.918008471960295,0.07230732621307331,3.0,30.0,0.295494351442913,False
TMSFF,s0,2.332839509542651,2.4184105408657195,0.17021190958943758,0.1,5.0,0.4556815325597246,False
AV-IDM,C_front,2.748798665053628,2.5359952661185527,0.37969778752195127,0.5,3.0,0.8995194660214512,False
AV-IDM,C_rear,2.819488575430701,2.542237531309424,0.4216168227956859,0.5,3.0,0.9277954301722804,False
AV-IDM,C_left,1.860895739070607,1.9057609746938955,0.5626300520907594,0.5,3.0,0.5443582956282427,False
AV-IDM,C_right,2.0326497281639906,2.045805448267118,0.21098098133505416,0.5,3.0,0.6130598912655962,False
AV-IDM,a_lat,0.7927141614600097,0.8589244322722136,0.09444327679994612,0.25,1.0,0.7236188819466797,False
AV-IDM,b_lat,1.138520151291111,1.661562788484138,0.6238124779888061,1.0,4.0,0.0461733837637036,False
AV-IDM,s0_lat,2.9462258256673537,2.8876282587449604,0.08278680310187585,0.2,3.0,0.9807949377383406,True
AV-IDM,T_lat,1.031486625221539,1.2773505857603997,0.40559368466271006,0.5,2.0,0.3543244168143594,False
AV-IDM,a_long,1.3371577639993868,1.3718632811878755,0.11603447301435679,1.0,4.0,0.1123859213331289,False
AV-IDM,v_desired_long,17.38270462451867,13.689568593292748,3.364779291535696,5.0,20.0,0.825513641634578,False
AV-IDM,b_long,3.955153736053051,3.5233741656320476,0.24799282456800684,1.0,4.0,0.9850512453510172,True
AV-IDM,s0_long,3.9940613975462393,3.8804641441043435,0.16047580274243442,1.0,4.0,0.9980204658487464,True
AV-IDM,T_long,0.7074936051740739,1.151109615487216,0.34136374996229063,0.5,2.0,0.1383290701160492,False
