metric,trajectories,TMSFF_mean,TMSFF_sd,AV_IDM_mean,AV_IDM_sd,mean_paired_difference_TMSFF_minus_AVIDM,bootstrap_95ci_lower,bootstrap_95ci_upper,TMSFF_lower_error_count,tie_count,wilcoxon_statistic,wilcoxon_two_sided_p
position_rmse_m,38,0.7392759701461165,0.43272915759264885,1.7999649060424419,0.9794253303744737,-1.060688935896325,-1.3575779847031515,-0.7880712097172979,35,0,12.0,5.093170329928398e-10
speed_rmse_mps,38,0.6500990325340281,0.36299739755321264,1.604266072302293,0.9202223313806912,-0.9541670397682653,-1.2144862080757066,-0.709289382986164,32,0,31.0,1.7280399333685637e-08
heading_mae_deg,38,1.83584315022747,1.341919270774237,4.486484819487595,4.548270068533105,-2.650641669260126,-4.424954002195553,-1.2242605309608021,27,0,126.0,0.00021384115098044276
lateral_rmse_m,38,0.3416777947120705,0.32945464094650795,0.7686735892337225,0.6665838354038739,-0.4269957945216521,-0.7051388845039729,-0.18679712779773733,27,0,160.0,0.0017339391924906522
acceleration_rmse_mps2,38,0.9649584908224529,0.3362261892127285,1.9610876067443623,0.9295852714312595,-0.9961291159219093,-1.273372255937578,-0.74546342727721,37,0,6.0,1.0186340659856796e-10
