model,seeds,calibration_objective_mean_m,calibration_objective_sd_m,holdout_objective_mean_m,holdout_objective_sd_m,mean_elapsed_seconds
AV-IDM,5,1.754120357926628,0.07882285514039093,2.0657413606918076,0.06236961708872623,89.04176173998857
TMSFF,5,1.8140755909466768,0.0012697748139333998,0.8727315162928907,0.007003072127717924,3.419285299995681
