model,free_parameters,calibration_objective_mean_m,calibration_objective_sd_m,holdout_objective_mean_m,holdout_objective_sd_m,seed42_per_trajectory_position_RMSE_mean_m,seed42_per_trajectory_position_RMSE_sd_m,seed42_per_trajectory_position_RMSE_median_m,TMSFF_lower_error_trajectories_out_of_38,paired_wilcoxon_two_sided_p
TMSFF,5,1.8140755909466768,0.0012697748139333998,0.8727315162928907,0.007003072127717924,0.7392759701461165,0.43272915759264885,0.7219063322251245,35,5.093170329928398e-10
AV-IDM,13,1.754120357926628,0.07882285514039093,2.0657413606918076,0.06236961708872623,1.7999649060424419,0.9794253303744737,1.6749614480230268,35,5.093170329928398e-10
